,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,26.6,74,90,11.5,US,1618627794
1,Devils Lake,48.1128,-98.8651,35.01,80,1,6.91,US,1618628019
2,Kahului,20.8947,-156.47,78.8,61,40,9.22,US,1618627767
3,Sitka,57.0531,-135.33,48.2,76,75,1.01,US,1618628113
4,Sompeta,18.9333,84.6,88.29,50,0,5.79,IN,1618627996
5,Punta Arenas,-53.15,-70.9167,48.2,71,0,19.57,CL,1618628003
6,Xai-Xai,-25.0519,33.6442,68.59,60,83,12.75,MZ,1618628114
7,Rikitea,-23.1203,-134.9692,77.7,68,100,8.57,PF,1618628115
8,Vaini,-21.2,-175.2,80.6,69,20,5.75,TO,1618628079
9,Livingston,55.9029,-3.5226,37.0,93,0,3.11,GB,1618627906
10,Hilo,19.7297,-155.09,77.0,61,90,5.75,US,1618627757
11,Quelimane,-17.8786,36.8883,75.2,83,75,5.75,MZ,1618628108
12,Busselton,-33.65,115.3333,71.01,54,24,3.0,AU,1618628116
13,Zhukovo,55.0318,36.744,46.99,100,0,2.24,RU,1618628117
14,Ushuaia,-54.8,-68.3,42.8,75,90,4.61,AR,1618627887
15,Dargaville,-35.9333,173.8833,64.24,56,2,14.61,NZ,1618628117
16,Albany,42.6001,-73.9662,39.99,77,98,6.13,US,1618628111
17,Avarua,-21.2078,-159.775,82.4,69,75,3.44,CK,1618628118
18,Saint Paul Harbor,57.79,-152.4072,48.2,61,20,6.91,US,1618628119
19,Bengkulu,-3.8004,102.2655,81.97,72,93,1.57,ID,1618628056
20,Leningradskiy,69.3833,178.4167,33.8,79,83,3.51,RU,1618628119
21,Garoowe,8.4054,48.4845,72.66,86,1,7.87,SO,1618628120
22,Hofn,64.2539,-15.2082,42.73,79,24,20.38,IS,1618628121
23,Shangrao,28.4532,117.9686,71.4,63,99,3.6,CN,1618628121
24,Kananga,-5.8958,22.4178,67.95,94,46,2.93,CD,1618628122
25,Qaanaaq,77.484,-69.3632,-2.31,92,100,6.76,GL,1618628122
26,Grindavik,63.8424,-22.4338,37.4,87,75,26.46,IS,1618628063
27,Tiksi,71.6872,128.8694,6.75,95,100,11.68,RU,1618628123
28,São Filipe,14.8961,-24.4956,70.79,74,2,10.85,CV,1618628123
29,Bredasdorp,-34.5322,20.0403,46.4,93,2,3.24,ZA,1618628124
30,Nanortalik,60.1432,-45.2371,21.16,57,0,49.19,GL,1618628124
31,Muriwai Beach,-36.8167,174.45,66.0,58,3,1.99,NZ,1618628111
32,Bluff,-46.6,168.3333,55.0,61,96,8.01,NZ,1618628125
33,Mar del Plata,-38.0023,-57.5575,64.0,100,16,3.44,AR,1618627950
34,Cidreira,-30.1811,-50.2056,69.51,81,100,5.97,BR,1618628060
35,Yellowknife,62.456,-114.3525,42.8,56,40,8.05,CA,1618628067
36,Victor Harbor,-35.5667,138.6167,64.99,56,100,1.01,AU,1618628126
37,Dublin,37.7021,-121.9358,53.01,76,20,12.66,US,1618627847
38,Miami,25.7743,-80.1937,79.0,65,40,6.91,US,1618627888
39,Isangel,-19.55,169.2667,84.2,74,75,11.5,VU,1618628063
40,Dalkola,25.85,87.85,86.13,47,1,15.59,IN,1618628128
41,Atuona,-9.8,-139.0333,80.69,77,100,18.05,PF,1618628128
42,Coquimbo,-29.9533,-71.3436,59.0,88,90,8.05,CL,1618628056
43,Erice,38.037,12.5865,59.0,94,20,3.44,IT,1618628129
44,Tromsø,69.6496,18.957,39.2,75,20,16.11,NO,1618628130
45,Lata,40.1629,-8.3327,57.0,66,14,5.01,PT,1618628130
46,Hermanus,-34.4187,19.2345,57.0,81,0,3.0,ZA,1618627864
47,Moville,42.4889,-96.0725,44.6,76,90,10.36,US,1618627865
48,Natal,-5.795,-35.2094,78.8,89,40,4.61,BR,1618627865
49,Hithadhoo,-0.6,73.0833,81.72,62,57,3.56,MV,1618627866
50,Tuktoyaktuk,69.4541,-133.0374,19.4,86,90,3.44,CA,1618627866
51,Trojes,41.756,19.962,50.0,81,75,9.51,AL,1618627867
52,Kapaa,22.0752,-159.319,73.0,78,90,3.44,US,1618627707
53,Ribeira Grande,38.5167,-28.7,63.09,95,91,18.9,PT,1618627868
54,Cape Town,-33.9258,18.4232,68.0,87,0,2.3,ZA,1618627717
55,Yangi Marg`ilon,40.4272,71.7189,64.4,36,11,4.61,UZ,1618627868
56,Diamantino,-14.4086,-56.4461,74.01,83,28,3.47,BR,1618627869
57,Pevek,69.7008,170.3133,22.59,83,100,3.33,RU,1618627779
58,Puerto Ayora,-0.7393,-90.3518,75.99,97,96,5.01,EC,1618627869
59,Ranau,5.9538,116.6641,87.8,70,20,4.61,MY,1618627870
60,Tasiilaq,65.6145,-37.6368,26.6,100,75,33.38,GL,1618627871
61,Władysławowo,54.7909,18.4009,39.99,93,0,4.61,PL,1618627871
62,Kysyl-Syr,63.8986,122.7617,25.0,78,96,13.24,RU,1618627872
63,Port-Cartier,50.0334,-66.8654,30.0,86,1,6.91,CA,1618627874
64,Souillac,-20.5167,57.5167,77.0,88,40,4.61,MU,1618627874
65,Provideniya,64.3833,-173.3,33.64,90,59,7.2,RU,1618627732
66,Castro,-24.7911,-50.0119,59.67,93,100,2.73,BR,1618627875
67,Chokurdakh,70.6333,147.9167,11.89,86,7,9.57,RU,1618627876
68,Butaritari,3.0707,172.7902,82.36,74,59,8.88,KI,1618627876
69,Mataura,-46.1927,168.8643,55.0,61,86,8.01,NZ,1618627877
70,Behren-lès-Forbach,49.1664,6.9434,33.8,80,0,4.61,FR,1618627877
71,Siderno,38.2779,16.302,53.01,66,88,8.05,IT,1618627878
72,Nikolskoye,59.7035,30.7861,41.0,45,0,6.71,RU,1618627705
73,Carnarvon,-24.8667,113.6333,82.92,39,1,6.42,AU,1618627879
74,Torbay,47.6666,-52.7314,33.01,93,90,12.66,CA,1618627879
75,Turinskaya Sloboda,57.6232,64.3858,37.78,53,0,7.07,RU,1618627880
76,Airai,-8.9266,125.4092,74.03,51,22,5.3,TL,1618627770
77,Weiser,44.251,-116.9693,66.2,18,1,5.75,US,1618627881
78,Corumbá,-19.0092,-57.6533,73.33,79,5,2.26,BR,1618627881
79,Mīnāb,27.1467,57.0801,73.4,78,40,1.12,IR,1618627882
80,Clyde River,70.4692,-68.5914,10.4,79,90,17.27,CA,1618627882
81,San Cristobal,7.7669,-72.225,84.2,61,40,6.91,VE,1618627883
82,Thompson,55.7435,-97.8558,41.0,45,40,8.05,CA,1618627883
83,Yulara,-25.2406,130.9889,69.8,30,0,16.11,AU,1618627817
84,Lobva,59.1854,60.5185,37.45,53,7,6.4,RU,1618627884
85,Cabo San Lucas,22.8909,-109.9124,71.6,60,40,3.44,MX,1618627884
86,Erdemli,36.605,34.3084,64.62,67,32,3.85,TR,1618627885
87,Sovetskiy,61.3614,63.5842,36.09,70,100,12.97,RU,1618627885
88,Yumen,40.2833,97.2,54.01,11,70,11.63,CN,1618627886
89,Cherskiy,68.75,161.3,22.33,77,96,10.63,RU,1618627887
90,Road Town,18.4167,-64.6167,79.0,89,50,5.99,VG,1618627759
91,Khovd,48.0056,91.6419,52.72,16,72,5.84,MN,1618627794
92,George Town,5.4112,100.3354,84.99,74,20,4.61,MY,1618627709
93,Hong Kong,22.2855,114.1577,75.0,92,100,1.01,HK,1618627928
94,Kaitangata,-46.2817,169.8464,59.0,42,64,15.99,NZ,1618627929
95,Wyndham,37.6985,-77.6125,53.6,47,1,3.44,US,1618627929
96,Fare,-16.7,-151.0167,81.45,74,48,5.61,PF,1618627930
97,Jamestown,42.097,-79.2353,37.99,93,90,12.66,US,1618627809
98,Fairbanks,64.8378,-147.7164,46.4,49,1,5.75,US,1618627918
99,Half Moon Bay,37.4636,-122.4286,54.0,87,90,11.5,US,1618627931
100,Belmonte,-15.8631,-38.8828,73.4,83,0,4.61,BR,1618627931
101,Mariehamn,60.0973,19.9348,32.0,74,0,9.22,AX,1618627854
102,Jinka,5.65,36.65,62.73,79,72,2.84,ET,1618627932
103,Nhulunbuy,-12.2333,136.7667,89.6,55,40,14.97,AU,1618627932
104,Kumul,42.8,93.45,65.12,9,0,9.91,CN,1618627933
105,Port Alfred,-33.5906,26.891,60.78,65,1,18.66,ZA,1618627933
106,Beloha,-25.1667,45.05,64.08,62,61,13.78,MG,1618627701
107,Guiratinga,-16.3494,-53.7583,71.31,76,9,2.17,BR,1618627933
108,Bow Island,49.8668,-111.3684,57.2,21,0,3.44,CA,1618627934
109,Touros,-5.1989,-35.4608,77.0,94,40,3.44,BR,1618627665
110,Strelka,58.0728,93.0344,19.18,55,4,10.51,RU,1618627935
111,Nemuro,43.3236,145.575,50.0,62,75,11.5,JP,1618627936
112,Bambey,14.6955,-16.4493,68.0,83,5,18.41,SN,1618627936
113,Punalūr,9.0,76.9333,86.0,74,20,3.44,IN,1618627937
114,Saint Anthony,45.0205,-93.218,51.8,37,1,7.85,US,1618627937
115,Nizhniy Odes,63.6445,54.856,32.9,81,100,9.19,RU,1618627938
116,Izhma,65.0083,53.9113,33.22,80,100,10.47,RU,1618627938
117,New Norfolk,-42.7826,147.0587,62.01,73,98,5.99,AU,1618627721
118,Shakiso,5.75,38.9167,56.84,96,32,3.29,ET,1618627939
119,Ola,59.5833,151.2833,24.8,82,100,6.8,RU,1618627940
120,Paramonga,-10.6667,-77.8333,67.82,85,100,6.55,PE,1618627940
121,Husavik,66.0449,-17.3389,41.0,60,75,13.8,IS,1618627941
